,agencyId,id,propertyDetailsUrl,agencyName,agencyProfilePageUrl,agent,bathrooms,bedrooms,carspaces,postcode,propertyType,result,state,streetName,streetNumber,streetType,suburb,geoLocation.latitude,geoLocation.longitude,unitNumber,price
832,17435,2018100634,https://www.domain.com.au/4-5-grandview-grove-hawthorn-east-vic-3123-2018100634,Marshall White,https://www.domain.com.au/real-estate-agencies/marshallwhite-17435,Marshall White - GlenHolm,1.0,2,1.0,3123,Unit,PTSD,Vic,Grandview,5,Gr,Hawthorn East,-37.8219515,145.0566021,4,
833,24974,2017854351,https://www.domain.com.au/9-61-mayston-street-hawthorn-east-vic-3123-2017854351,LITTLE Real Estate Victoria,https://www.domain.com.au/real-estate-agencies/littlerealestatevictoria-24974,LITTLE Real Estate Victoria,1.0,1,1.0,3123,Unit,PTSD,Vic,Mayston,61,St,Hawthorn East,-37.8267592,145.0554495,9,
834,31826,2017720998,https://www.domain.com.au/413-757-toorak-road-hawthorn-east-vic-3123-2017720998,Biggin & Scott Boroondara,https://www.domain.com.au/real-estate-agencies/bigginscottboroondara-31826,Biggin & Scott Boroondara,2.0,3,2.0,3123,Unit,PTSD,Vic,Toorak,757,Rd,Hawthorn East,-37.844937,145.042178,413,
835,7658,2018049744,https://www.domain.com.au/15-stonehaven-road-hazelwood-south-vic-3840-2018049744,Stockdale & Leggo Traralgon,https://www.domain.com.au/real-estate-agencies/sltraralgon,S&L Traralgon,3.0,3,2.0,3840,House,PTSD,Vic,Stonehaven,15,Rd,Hazelwood South,-38.3241808,146.4599388,,769000.0
836,33377,2017888243,https://www.domain.com.au/1-16-golf-view-road-heatherton-vic-3202-2017888243,Main Road Real Estate,https://www.domain.com.au/real-estate-agencies/mainroadrealestate-33377,Main Road Real Estate,2.0,3,1.0,3202,House,PTSD,Vic,Golf View,16,Rd,Heatherton,-37.9528686,145.0869644,1,
837,4877,2018048854,https://www.domain.com.au/79-great-ryrie-street-heathmont-vic-3135-2018048854,Philip Webb Real Estate Ringwood,https://www.domain.com.au/real-estate-agencies/philipwebbringwood,Philip Webb Ringwood,2.0,3,2.0,3135,House,AUHB,Vic,Great Ryrie,79,St,Heathmont,-37.8281714,145.2375951,,940000.0
838,23129,2018061228,https://www.domain.com.au/10-salisbury-court-heathmont-vic-3135-2018061228,Fletchers Maroondah,https://www.domain.com.au/real-estate-agencies/fletchersmaroondah-23129,Fletchers Maroondah,1.0,3,1.0,3135,House,AUSD,Vic,Salisbury,10,Ct,Heathmont,-37.8291231,145.2480409,,955000.0
839,6242,2017971097,https://www.domain.com.au/2-aumann-street-heathmont-vic-3135-2017971097,Noel Jones Ringwood & Croydon,https://www.domain.com.au/real-estate-agencies/noeljonesringwoodcroydon-6242,Noel Jones Ringwood & Croydon,2.0,4,2.0,3135,House,PTSD,Vic,Aumann,2,St,Heathmont,-37.8268472,145.2485589,,1060000.0
840,246,2018004503,https://www.domain.com.au/61-canterbury-road-heathmont-vic-3135-2018004503,Noel Jones Blackburn,https://www.domain.com.au/real-estate-agencies/noeljonesblackburn-246,Noel Jones Blackburn,2.0,3,1.0,3135,House,PTSD,Vic,Canterbury,61,Rd,Heathmont,-37.8253008,145.2489109,,
841,12114,2018051718,https://www.domain.com.au/2-37-coven-avenue-heathmont-vic-3135-2018051718,Barry Plant Heathmont & Ringwood,https://www.domain.com.au/real-estate-agencies/barryplantheathmontringwood-12114,BP Heathmont & Ringwood,2.0,3,2.0,3135,Townhouse,PTSD,Vic,Coven,37,Av,Heathmont,-37.8306065,145.2588764,2,915000.0
